,companyId,positionId,positionNameByMe,industryField,education,workYear,city,positionAdvantage,salary,positionName,companyShortName,companyFullName,companySize,district,latitude,longitude,firstType,secondType,financeStage,jobNature
0,1868,5785645,数据分析,"移动互联网,金融",本科,1-3年,深圳,"五险一金,绩效奖金,带薪年假,定期体检",11k-20k,032281-数据分析岗,平安产险,中国平安财产保险股份有限公司,2000人以上,福田区,22.52153,114.055036,综合职能|高级管理,人力资源,上市公司,全职
1,44982,5666110,数据分析,金融,本科,1-3年,深圳,公司平台大薪酬福利优一年多薪,8k-14k,数据分析岗,友金所,深圳前海用友力合金融服务有限公司,500-2000人,南山区,22.546596,113.947271,产品|需求|项目类,数据分析,不需要融资,全职
2,13809,5723753,数据分析,"移动互联网,金融",不限,不限,深圳,"六险一金,弹性时间,空间大,氛围好",3k-4k,数据分析（2020届）,随手科技,深圳市随手科技有限公司,500-2000人,南山区,22.534231,113.954869,产品|需求|项目类,数据分析,C轮,全职
3,311571,5813500,数据分析,"移动互联网,广告营销",本科,1-3年,深圳,"高薪,轻松,机会",11k-15k,数据分析师,简信科技,深圳简信互联网科技服务有限公司,50-150人,南山区,22.527343,113.942156,产品|需求|项目类,数据分析,不需要融资,全职
4,70395,5670374,数据分析,移动互联网,本科,3-5年,深圳,"颜值高团队,扁平化管理,老板好,员工福利",10k-20k,数据分析师,超级猩猩健身,深圳市超级猩猩健身管理有限公司,150-500人,南山区,22.536187,113.995693,产品|需求|项目类,数据分析,D轮及以上,全职
5,159101,5833149,数据分析,硬件,本科,1-3年,深圳,"产品好,团队好,学习型,期权多",10k-20k,数据分析师,海柔创新,深圳市海柔创新科技有限公司,50-150人,宝安区,22.598663,113.844778,开发|测试|运维类,数据开发,A轮,全职
6,48687,5822637,数据分析,"移动互联网,硬件",本科,1-3年,深圳,发展平台大 工作氛围佳,10k-15k,数据分析师,魅族,珠海市魅族科技有限公司,2000人以上,南山区,22.540605,113.952792,开发|测试|运维类,数据开发,A轮,全职
7,40014,5701233,数据分析,电子商务,本科,1-3年,深圳,不打卡 团队年轻 领导nice,10k-20k,数据分析师,美的电商,美的集团电子商务有限公司,2000人以上,南山区,22.524462,113.936028,产品|需求|项目类,数据分析,上市公司,全职
8,15175,5827915,数据分析,移动互联网,本科,不限,深圳,上市公司 五险一金 发展空间 团队激励,15k-30k,数据分析师 （桔子理财） (MJ000539),乐信,深圳乐信软件技术有限公司,2000人以上,南山区,22.538345,113.944704,金融类,风控,上市公司,全职
9,505271,5819995,数据分析,"金融,人工智能",本科,3-5年,深圳,六险一金，扁平管理，快速成长，大神助力,15k-30k,数据分析师,腾梭科技,上海腾梭科技有限公司,150-500人,南山区,22.541408,113.932925,产品|需求|项目类,数据分析,A轮,全职
10,175284,5229237,数据分析,"教育,移动互联网",本科,3-5年,深圳,"五险一金,周末双休,健身俱乐部,带薪年假",18k-30k,数据分析师,阿卡索外教网,深圳市阿卡索资讯股份有限公司,2000人以上,罗湖区,22.540801,114.121301,产品|需求|项目类,数据分析,C轮,全职
11,103271,5819677,数据分析,"移动互联网,招聘",本科,应届毕业生,深圳,个人成长空间大、福利好、假期长、弹性打卡,3k-5k,数据分析实习生,白熊事务所,深圳找份工作科技有限公司,15-50人,南山区,22.538258,113.957553,开发|测试|运维类,数据开发,天使轮,实习
12,39934,5823626,数据分析,"移动互联网,电子商务",本科,3-5年,深圳,带薪年假、定期体检、弹性工作,20k-30k,数据分析师,每日优鲜,北京每日优鲜电子商务有限公司,500-2000人,南山区,22.542201,113.953376,产品|需求|项目类,数据分析,C轮,全职
13,7918,5819841,数据分析,"企业服务,数据服务",大专,1年以下,深圳,试用期6险一金 周末双休,4k-5k,初级数据分析师,乐格信息,乐格商业咨询（深圳）有限公司,150-500人,福田区,22.530679,114.024615,产品|需求|项目类,数据分析,A轮,全职
14,22623,5819339,数据分析,生活服务,本科,3-5年,深圳,"周末双休,五险一金,包吃,优秀团队",10k-13k,数据分析工程师,派鲜,深圳派鲜科技有限公司,150-500人,南山区,22.540941,113.933786,产品|需求|项目类,数据分析,B轮,全职
15,1868,5546267,数据分析,"移动互联网,金融",本科,3-5年,深圳,丰厚的年终奖,15k-25k,数据分析与挖掘岗,平安产险,中国平安财产保险股份有限公司,2000人以上,福田区,22.532683,114.015762,开发|测试|运维类,数据开发,上市公司,全职
16,13809,5420463,数据分析,"移动互联网,金融",本科,3-5年,深圳,团队氛围好，发展空间大,13k-25k,数据分析师,随手科技,深圳市随手科技有限公司,500-2000人,南山区,22.534231,113.954869,产品|需求|项目类,数据分析,C轮,全职
17,68524,5828229,数据分析,"移动互联网,教育",本科,不限,深圳,"福利多,二次元,中晚餐补,好玩有趣",12k-24k,数据分析工程师,编程猫,深圳点猫科技有限公司,500-2000人,宝安区,22.597811,113.84623,开发|测试|运维类,数据开发,B轮,全职
18,107664,5827207,数据分析,"移动互联网,金融",本科,3-5年,深圳,扁平管理，项目好,15k-30k,数据分析工程师,AKULAKU,岩心科技（深圳）有限公司,500-2000人,南山区,22.529055,113.943847,产品|需求|项目类,数据分析,D轮及以上,全职
19,51662,5579971,数据分析,金融,本科,3-5年,深圳,"五险一金,带薪年假,节日福利,高温补贴",10k-15k,25212E-数据分析岗,陆金所,上海陆家嘴国际金融资产交易市场股份有限公司,2000人以上,福田区,22.543223,114.063679,市场|商务类,市场|营销,B轮,全职
20,64398,5798240,数据分析,"零售贸易,移动互联网",本科,3-5年,深圳,年终奖、跨国平台、朝阳行业,12k-20k,数据分析,BLUE,深圳蓝贝科技有限公司,500-2000人,南山区,22.526908,113.942712,产品|需求|项目类,数据分析,C轮,全职
21,138346,5237655,数据分析,金融,本科,1-3年,深圳,"氛围好,晋升空间大",10k-15k,数据分析,恒信永利,深圳市瑞宝麟财富投资管理有限公司,2000人以上,南山区,22.568812,113.953478,开发|测试|运维类,数据开发,不需要融资,全职
22,175085,5728286,数据分析,金融,本科,3-5年,深圳,高额年终奖 体检 旅游 团建,15k-20k,数据分析,海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,500-2000人,南山区,22.535129,113.952487,产品|需求|项目类,数据分析,未融资,全职
23,130397,5545318,数据分析,移动互联网,本科,3-5年,深圳,高薪酬股票期权热门海外业务氛围好牛人多,20k-40k,数据分析师,小步网络,深圳小步网络科技有限公司,150-500人,宝安区,22.562663,113.870862,产品|需求|项目类,数据分析,B轮,全职
24,204540,5781438,数据分析,"移动互联网,电子商务",本科,5-10年,深圳,五险一金 五天七小时 调薪机制,10k-20k,数据分析师,百果科技,深圳市百果互动科技有限公司,150-500人,南山区,22.530585,113.947717,产品|需求|项目类,数据分析,B轮,全职
25,160058,5816213,数据分析,移动互联网,硕士,3-5年,深圳,独角兽 专家团队 发展空间 资本雄厚,15k-30k,数据分析师,滴滴优点,滴滴优点科技（深圳）有限公司,50-150人,福田区,22.534054,114.031537,产品|需求|项目类,数据分析,A轮,全职
26,35565,5523134,数据分析,"移动互联网,数据服务",本科,1年以下,深圳,大数据人工智能；名校系大牛；技术氛围浓,8k-15k,数据分析师(商业方向，初级）,一面数据,深圳市一面网络技术有限公司,50-150人,南山区,22.54064,113.939945,产品|需求|项目类,数据分析,A轮,全职
27,497855,5631823,数据分析,"移动互联网,区块链",本科,1-3年,深圳,5天7小时 扁平化管理,8k-15k,数据分析,深圳市盛达瑞智能科技有限公司,深圳市盛达瑞智能科技有限公司,50-150人,南山区,22.547674,113.945686,产品|需求|项目类,数据分析,不需要融资,全职
28,135283,4864988,数据分析,"移动互联网,数据服务",本科,5-10年,深圳,"14薪起,股票期权,技术大牛,氛围融洽",20k-30k,数据分析师,数位科技,深圳数位传媒科技有限公司,150-500人,南山区,22.523714,113.940802,开发|测试|运维类,数据开发,B轮,全职
29,115706,5430691,数据分析,"移动互联网,社交网络",本科,3-5年,深圳,"SNS,薪资优渥,社交大咖",15k-30k,数据分析师,忆年,武汉市追忆那年网络科技有限公司,50-150人,南山区,22.527875,113.941717,产品|需求|项目类,数据分析,B轮,全职
30,35565,5523125,数据分析,"移动互联网,数据服务",本科,1-3年,深圳,大数据人工智能；名校系大牛；技术氛围浓,10k-20k,数据分析师（数据科学方向）,一面数据,深圳市一面网络技术有限公司,50-150人,南山区,22.54064,113.939945,产品|需求|项目类,数据分析,A轮,全职
31,8277,5592108,数据分析,"移动互联网,游戏",本科,1-3年,深圳,五险一金 带薪培训 免费体检,10k-15k,数据分析员,路通网络,深圳市路通网络技术有限公司,500-2000人,南山区,22.550238,113.950755,产品|需求|项目类,数据分析,不需要融资,全职
32,175085,5559632,数据分析,金融,本科,3-5年,深圳,高额年终奖 团建 体检 旅游,15k-20k,数据分析师,海南新浪爱问普惠科技有限公司,海南新浪爱问普惠科技有限公司,500-2000人,南山区,22.535129,113.952487,产品|需求|项目类,数据分析,未融资,全职
33,917,5645002,数据分析,"移动互联网,数据服务",本科,1-3年,深圳,"五险一金,奖金丰厚,福利多多,定期体检",9k-15k,数据分析师,极光,深圳市和讯华谷信息技术有限公司,500-2000人,南山区,22.550224,113.908469,产品|需求|项目类,数据分析,上市公司,全职
34,515159,5748069,数据分析,"移动互联网,金融",本科,1-3年,深圳,高薪 灵活 轻松,9k-15k,数据分析师,深圳微融,深圳微融信息科技有限公司,50-150人,南山区,22.527343,113.942156,产品|需求|项目类,数据分析,不需要融资,全职
35,214114,5173528,数据分析,移动互联网,本科,3-5年,深圳,"独立自主,海量数据,节奏快,创新驱动",15k-27k,数据分析师,懒人科技,上海懒人易健科技有限公司,50-150人,南山区,22.518091,113.934788,产品|需求|项目类,数据分析,不需要融资,全职
36,46639,2783123,数据分析,金融,本科,1-3年,深圳,有牛人,15k-30k,数据分析师,深圳妈妈资本,深圳妈妈资本管理有限公司,50-150人,南山区,22.522119,113.937086,产品|需求|项目类,数据分析,A轮,全职
37,166666,5355366,数据分析,"企业服务,数据服务",本科,1-3年,深圳,牛人团队 成长空间 期权激励 独当一面,15k-30k,数据分析师,观远数据,杭州观数信息科技有限公司,50-150人,南山区,22.523394,113.937985,产品|需求|项目类,数据分析,A轮,全职
38,76066,5762588,数据分析,"企业服务,医疗健康",不限,不限,深圳,扁平管理、年底双薪、年终奖、无加班文化,8k-15k,数据分析师,晶泰科技,深圳晶泰科技有限公司,50-150人,福田区,22.537003,114.023823,开发|测试|运维类,数据开发,B轮,全职
39,2352,5783436,数据分析,"金融,数据服务",本科,3-5年,深圳,行业前列、合规第一、持牌经营,15k-25k,数据分析师（数据运营）,鹏元征信有限公司,鹏元征信有限公司,150-500人,福田区,22.99368,113.993578,产品|需求|项目类,数据分析,不需要融资,全职
40,282633,5791744,数据分析,移动互联网,本科,3-5年,深圳,核心业务，新零售,15k-20k,数据分析师,高域海汇,北京高域海汇科技有限公司,150-500人,南山区,22.506348,113.938438,产品|需求|项目类,数据分析,不需要融资,全职
41,135283,4210417,数据分析,"移动互联网,数据服务",本科,5-10年,深圳,"14薪起,股票期权,大牛团队,技术氛围好",25k-50k,数据分析师,数位科技,深圳数位传媒科技有限公司,150-500人,南山区,22.523714,113.940802,开发|测试|运维类,数据开发,B轮,全职
42,174527,5389270,数据分析,"电子商务,硬件",本科,3-5年,深圳,周末双休，五险一金，下午茶，工作氛围好,15k-20k,数据分析师（用户方向）,立创商城,深圳市立创电子商务有限公司,150-500人,福田区,22.549496,114.042568,开发|测试|运维类,数据开发,A轮,全职
43,321025,5021443,数据分析,"移动互联网,教育",硕士,1-3年,深圳,驱动开发，团队年轻，牛人指导,10k-15k,数据分析师,风变科技（深圳）有限公司,风变科技（深圳）有限公司,150-500人,南山区,22.546157,113.946882,开发|测试|运维类,数据开发,A轮,全职
44,35539,5733985,数据分析,金融,本科,3-5年,深圳,弹性上班 多多年假 新业务发展多,12k-20k,数据分析师（评分卡）,即有分期,深圳前海达飞金融服务有限公司,500-2000人,福田区,22.99368,113.993578,金融类,互联网金融,D轮及以上,全职
45,35565,5523119,数据分析,"移动互联网,数据服务",本科,1-3年,深圳,大数据人工智能；名校系大牛；技术氛围浓,10k-20k,数据分析师（数据资产方向）,一面数据,深圳市一面网络技术有限公司,50-150人,南山区,22.54064,113.939945,开发|测试|运维类,数据开发,A轮,全职
46,174527,5524909,数据分析,"电子商务,硬件",本科,3-5年,深圳,"五险一金,周末双休,水果下午茶,",15k-20k,数据分析师（商品方向）,立创商城,深圳市立创电子商务有限公司,150-500人,福田区,22.549496,114.042568,产品|需求|项目类,数据分析,A轮,全职
47,35539,5758103,数据分析,金融,本科,1-3年,深圳,弹性上班 多多年假 新业务发展多,8k-15k,数据分析师（经营管理）,即有分期,深圳前海达飞金融服务有限公司,500-2000人,福田区,22.99368,113.993578,开发|测试|运维类,数据开发,D轮及以上,全职
48,19875,5004419,数据分析,移动互联网,本科,3-5年,深圳,"平台大,海量用户,技术氛围好,个人成长快",20k-30k,【急招】数据分析师（互联网）,vivo,维沃移动通信有限公司,2000人以上,宝安区,22.551716,113.88742,开发|测试|运维类,数据开发,未融资,全职
49,128065,2428796,数据分析,"企业服务,金融",本科,1-3年,深圳,"平台大,创新型,有挑战",8k-15k,数据分析师,深圳白骑士大数据有限公司,深圳白骑士大数据有限公司,50-150人,南山区,22.545687,113.945856,产品|需求|项目类,数据分析,A轮,全职
50,29682,5742734,数据分析,金融,本科,1-3年,深圳,团队氛围好，发展空间大，专业提升,8k-15k,数据分析岗,人人聚财,深圳市人人聚财金融信息服务有限公司,2000人以上,南山区,22.548086,114.149521,产品|需求|项目类,数据分析,A轮,全职
51,27976,5768068,数据分析,"移动互联网,电子商务",大专,1-3年,深圳,双休、 五险一金、餐补、节日福利,10k-15k,数据分析,美乐乐家居网,天津美维信息技术有限公司成都分公司,500-2000人,宝安区,22.583821,113.863603,产品|需求|项目类,数据分析,D轮及以上,全职
