,companyId,positionId,positionNameByMe,industryField,education,workYear,city,positionAdvantage,salary,positionName,companyShortName,companyFullName,companySize,district,latitude,longitude,firstType,secondType,financeStage,jobNature
26,83013,884911,前端,"移动互联网,数据服务",本科,1-3年,福州,地方事业单位,5k-7k,web前端,计算所福州分所,福州（闽侯）中科数据应用技术研究院,150-500人,闽侯县,26.150047,119.131725,开发|测试|运维类,移动前端开发,不需要融资,全职
27,171273,5316534,前端,"金融,移动互联网",本科,3-5年,福州,web前端； H5,20k-29k,前端工程师（上海、福州） (MJ000217),兴业数金,兴业数字金融服务（上海）股份有限公司,500-2000人,晋安区,26.092741,119.33344,开发|测试|运维类,移动前端开发,不需要融资,全职
28,494536,5480565,前端,"移动互联网,电子商务",本科,1-3年,福州,高大上,5k-10k,web前端开发工程师,福建锦绣商务电子科技有限公司,福建锦绣商务电子科技有限公司,15-50人,晋安区,26.075488,119.329204,开发|测试|运维类,前端开发,未融资,全职
29,502757,5564588,前端,"移动互联网,生活服务",本科,3-5年,福州,周末双休/8小时工作制/五险一金,15k-20k,WEB前端程序员,福建品悦科技有限公司,福建品悦科技有限公司,15-50人,台江区,26.05264,119.340761,开发|测试|运维类,前端开发,天使轮,全职
30,307238,5611259,前端,"移动互联网,信息安全",大专,应届毕业生,福州,五险一金 下午茶 零食供应 年终奖励,2k-3k,前端工程师（实习生）,蓝鲨信息,福州蓝鲨信息技术有限公司,15-50人,仓山区,26.025141,119.262271,开发|测试|运维类,前端开发,天使轮,实习
31,9237,5815029,前端,"移动互联网,数据服务",本科,3-5年,福州,氛围好，发展空间大,15k-25k,web前端开发工程师（工作地点：厦门）,RingCentral厦门研发中心,厦门铃盛软件有限公司,500-2000人,鼓楼区,26.08739,119.30929,开发|测试|运维类,前端开发,上市公司,全职
32,70044,664769,前端,"电子商务,文化娱乐",本科,3-5年,福州,弹性工作、带薪年假、待遇优厚,9k-13k,web前端,平行世界,武汉平行世界网络科技有限公司,50-150人,闽侯县,119.189177,26.057306,开发|测试|运维类,移动前端开发,天使轮,全职
33,515970,5625451,前端,"移动互联网,企业服务",本科,1-3年,福州,每年多次调薪14薪餐补体检过节费,6k-12k,web前端开发工程师,福建华网,福建华网信息科技有限公司,50-150人,台江区,26.061913,119.312503,开发|测试|运维类,前端开发,不需要融资,全职
34,62019,5812949,前端,"移动互联网,企业服务",不限,1-3年,福州,双休、弹性工作、节日福利,4k-8k,web前端,锐掌网络,福州锐掌网络科技有限公司,50-150人,鼓楼区,26.109156,119.263595,开发|测试|运维类,前端开发,未融资,全职
35,5386,5737030,前端,移动互联网,不限,应届毕业生,福州,扁平化管理 前景好 知名幼教品牌,2k-4k,WEB前端开发工程师（校招）,宝宝巴士,宝宝巴士（福建）网络科技有限公司,500-2000人,仓山区,26.065236,119.253937,开发|测试|运维类,前端开发,B轮,全职
